,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,11705,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19756484.0,19756484.0,False,,1,,,,2024-09-20T07:57:00.000Z,63586.085715214576,41714926245.77752,-11.3549,-0.33237813,2.37543001,9.39537935,6.44555088,-5.54598525,-1.36774924,1256237485055.2654,56.7037,1335307800019.51,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
1,1027,Ethereum,ETH,ethereum,9317,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'layer-1', 'ftx-bankruptcy-estate']",,120345932.99257168,120345932.99257168,True,,2,,,,2024-09-20T07:57:00.000Z,2567.58131799391,19757272861.010937,-5.9354,0.1530782,5.35544773,9.31015363,-1.29973218,-26.2822157,-26.48598461,308997969248.274,13.9586,308997969248.27,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
2,825,Tether USDt,USDT,tether,98037,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,119072842113.35646,121386817751.62444,True,,3,,,,2024-09-20T07:57:00.000Z,1.00036915516116,68921888791.65833,-4.8047,0.04284078,0.01797989,0.0225631,0.00929735,0.0116429,0.09796255,119116798467.5766,5.3767,121431628321.89,,2024-09-20T07:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-09-20 13:30:29.470503
3,1839,BNB,BNB,bnb,2237,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145933708.58039922,145933708.58039922,False,,4,,,,2024-09-20T07:57:00.000Z,574.0667127655023,1936975131.0818307,8.9183,-0.24905306,3.04239018,5.86853686,2.16456216,-3.42920261,-2.14553815,83775684366.42856,3.7815,83775684366.43,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
4,5426,Solana,SOL,solana,737,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,468491732.2454785,584920172.8598255,True,,5,,,,2024-09-20T07:57:00.000Z,150.9736075232246,3188647001.7919664,8.0254,-0.3121469,8.90118473,12.29634967,5.5688427,-15.56150514,12.1456675,70729886911.9045,3.193,88307508609.76,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
5,3408,USDC,USDC,usd-coin,22144,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,35556991081.38526,35556991081.38526,False,,6,,,,2024-09-20T07:57:00.000Z,0.9999639210863998,6938353625.668709,-13.3524,0.01122253,-0.00650905,-0.0065053,-0.00841704,-0.00653634,0.00433485,35555708223.77615,1.6051,35555708223.78,,2024-09-20T07:57:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-20 13:30:29.470503
6,52,XRP,XRP,xrp,1391,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56434507880.0,99987205428.0,False,,7,,,,2024-09-20T07:58:00.000Z,0.5909163886079201,1314300759.9337318,4.883,0.40879199,1.03334404,4.80470147,-1.26514684,-1.35309877,21.46538613,33348075589.314808,1.5053,59091638860.79,,2024-09-20T07:58:00.000Z,,,,,,2024-09-20 13:30:29.470503
7,74,Dogecoin,DOGE,dogecoin,1067,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,146031776383.7052,146031776383.7052,True,,8,,,,2024-09-20T07:58:00.000Z,0.10676759665859534,662876984.8401061,1.442,-0.15232479,2.46548472,3.15319058,2.0528542,-22.26634278,-13.85749545,15591461800.273624,0.7038,15591461800.27,,2024-09-20T07:58:00.000Z,,,,,,2024-09-20 13:30:29.470503
8,11419,Toncoin,TON,toncoin,557,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532619133.660087,5112073382.172842,True,,9,3414166606.0,19706543510.463245,,2024-09-20T07:57:00.000Z,5.771992343850851,251975866.6588911,-20.4254,-0.41926886,0.21042477,4.41915247,-13.3617372,-18.46127219,-19.77875615,14618258249.376198,0.6598,29506848423.11,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
9,1958,TRON,TRX,tron,1036,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86676751858.1479,86676349437.90773,True,,10,71659659264.0,10924753005.428997,,2024-09-20T07:57:00.000Z,0.15245332056605684,303966658.8038487,3.1371,-0.20192996,1.43445162,1.06983078,-6.5899345,11.76562295,28.38807332,13214158636.654785,0.5965,13214097286.35,,2024-09-20T07:57:00.000Z,,,,,,2024-09-20 13:30:29.470503
